label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
2	906 m^3	0.9669	sANTA cLARITA	Fremont, Santa Ana	fabrice	0.5996	220	-49	951 N	LISE	1038
5	477 m^3	0.3338	San Francisco	San Francisco	Sam	0.152	237	581	450 N	Eriq	337
0	861 m^3	0.6165	San Diego	Fresno, Stockton	Eriq	0.6312	632	36	910 N	Andrew	-50
0	1100 m^3	0.4111	Sacramento	Stockton, Fresno	Michael	0.4227	386	304	547 N	Vani	225
2	925 m^3	0.7413	Santa Ana	Santa Ana	Fabrice	0.6331	519	-158	1005 N	Lise	952
5	773 m^3	0.2418	Oakland	San Francisco	Sam	0.2968	196	855	420 N	Eriq	524
1	176 m^3	-0.2072	Bakersfield	Anaheim	Andrew	0.6581	1242	402	520 N	Fabrice	243
5	609 m^3	0.3776	Riverside	San Francisco	?	0.5228	262	994	514 N	Eriq	784
3	541 m^3	0.3095	Fremont	Oakland, Long Beach, San Bernardino	Vani	0.8323	947	365	614 N	Chris	229
0	966 m^3	0.5003	Stockton	San Jose	Michael	0.2401	170	126	690 N	Andrew	140
0	934 m^3	0.4863	Anaheim	STOCKTON, SAN JOSE	Eriq	0.7536	239	174	664 N	Vani	-1
3	740 m^3	0.227	Irvine	Moreno Valley	Vani	0.9617	889	486	429 N	Chris	-62
1	184 m^3	0.1045	Chula Vista	San Diego, Santa Clarita, Bakersfield, Anaheim	Inan	0.4875	999	627	227 N	Inan	478
1	75 m^3	-0.1681	Bakersfield	San Francisco	Inan	0.7029	725	696	356 N	Inan	400
2	1003 m^3	0.8571	Santa Clarita	Fremont	Reilly	0.6513	238	214	681 N	Lise	887
4	295 m^3	0.8118	Fresno	Riverside	?	0.3552	459	812	494 N	Tony	819
3	579 m^3	0.595	Fremont	Moreno Valley, Oakland, Long Beach	Vani	0.9094	867	430	565 N	Chris	376
4	303 m^3	0.6702	Los Angeles	Riverside	Chris	0.0015	572	658	232 N	Tony	997
1	-82 m^3	0.0936	Chula Vista	Anaheim, Modesto	Inan	0.6798	984	486	39 N	Inan	333
0	1039 m^3	0.6766	San Diego	San Jose	Michael	0.6799	528	268	713 N	Vani	225
4	189 m^3	0.7453	San Jose	Los Angeles	Lise	0.293	455	764	304 N	Tony	949
2	842 m^3	0.9322	Santa Ana	Irvine, Sacramento, Santa Ana	Reilly	0.6621	295	180	912 N	Michael	889
5	314 m^3	0.1964	Oakland	San Francisco	Sam	0.471	26	820	467 N	Eriq	625
2	799 m^3	0.7968	Santa Clarita	Santa Ana	Fabrice	0.5471	391	-336	781 N	Lise	894
4	326 m^3	0.5952	Fresno	Riverside	Chris	0.0832	614	1120	245 N	Tony	987
3	432 m^3	0.4014	Irvine	Oakland, San Bernardino, Chula Vista	Vani	0.774	780	337	574 N	Chris	70
3	801 m^3	0.4016	Irvine	Stockton, San Jose	Vani	0.8622	786	489	628 N	Chris	157
0	1069 m^3	0.7037	Stockton	Stockton, Fresno	Eriq	0.7742	814	-41	807 N	Vani	293
4	260 m^3	0.9095	San Bernardino	San Francisco	Tony	0.078	187	444	292 N	Michael	900
5	526 m^3	0.7366	Oakland	San Francisco	Sam	0.3651	64	1214	214 N	Eriq	536
